test_id,gene_id,gene,locus,sample_1,sample_2,status,value_1,value_2,log2(fold_change),test_stat,p_value,q_value,significant
XLOC_002949,XLOC_002949,CALML5,chr10:5540657-5541533,NULL,KLF4,OK,0,2.05631,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_003244,XLOC_003244,SFRP5,chr10:99526507-99531756,NULL,KLF4,OK,0,1.44222,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_003449,XLOC_003449,OR51E1,chr11:4665155-4676716,NULL,KLF4,OK,0,1.26863,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_003632,XLOC_003632,FAM180B,chr11:47608229-47610746,NULL,KLF4,OK,0,0.919407,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_003895,XLOC_003895,FOLR3,chr11:71846770-71850934,NULL,KLF4,OK,0,4.65891,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_003915,XLOC_003915,SLCO2B1,chr11:74862031-74917445,NULL,KLF4,OK,0,1.16124,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_004311,XLOC_004311,USH1C,chr11:17515441-17565963,NULL,KLF4,OK,0,2.46447,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_005090,XLOC_005090,WNT1,chr12:49372235-49376396,NULL,KLF4,OK,0,1.45426,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_005542,XLOC_005542,LPAR5,chr12:6728000-6745297,NULL,KLF4,OK,0,1.35699,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_005614,XLOC_005614,PRB4,chr12:11460014-11463369,NULL,KLF4,OK,0,3.22931,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_005712,XLOC_005712,COL2A1,chr12:48366747-48398285,NULL,KLF4,OK,0,1.47353,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_005808,XLOC_005808,NFE2,chr12:54685890-54694821,NULL,KLF4,OK,0,3.47008,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_005934,XLOC_005934,C12orf50,chr12:88373815-88423176,NULL,KLF4,OK,0,1.93842,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_007437,XLOC_007437,BEGAIN,chr14:101003483-101036131,NULL,KLF4,OK,0,4.0999,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_007804,XLOC_007804,PSTPIP1,chr15:77287464-77329671,NULL,KLF4,OK,0,5.11123,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_008333,XLOC_008333,HBZ,chr16:202853-204504,NULL,KLF4,OK,0,1.9169,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_008335,XLOC_008335,HBA2,chr16:222845-223709,NULL,KLF4,OK,0,21.2978,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_008336,XLOC_008336,HBA1,chr16:226678-227520,NULL,KLF4,OK,0,24.0363,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_008348,XLOC_008348,PRR35,chr16:610421-615529,NULL,KLF4,OK,0,1.42418,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_008667,XLOC_008667,MT4,chr16:56598960-56602869,NULL,KLF4,OK,0,5.19246,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_008823,XLOC_008823,WFDC1,chr16:84328311-84363457,NULL,KLF4,OK,0,1.92991,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_008920,XLOC_008920,HS3ST6,chr16:1961464-1968231,NULL,KLF4,OK,0,1.73212,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_008947,XLOC_008947,PRSS22,chr16:2902727-2908171,NULL,KLF4,OK,0,1.40606,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_009015,XLOC_009015,ABCC6P2,chr16:14916288-14918559,NULL,KLF4,OK,0,1.00725,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_009282,XLOC_009282,FA2H,chr16:74746855-74808729,NULL,KLF4,OK,0,4.39677,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_009345,XLOC_009345,CBFA2T3,chr16:88941262-89043504,NULL,KLF4,OK,0,2.18349,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_009389,XLOC_009389,SMTNL2,chr17:4487275-4511614,NULL,KLF4,OK,0,3.11338,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_009785,XLOC_009785,NGFR,chr17:47572654-47651426,NULL,KLF4,OK,0,16.2949,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_010392,XLOC_010392,KRT13,chr17:39657232-39661865,NULL,KLF4,OK,0,13.5974,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_010398,XLOC_010398,KRT16,chr17:39766030-39769079,NULL,KLF4,OK,0,4.02243,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_010436,XLOC_010436,MEOX1,chr17:41717757-41739262,NULL,KLF4,OK,0,3.16979,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_010522,XLOC_010522,DLX3,chr17:48067368-48072588,NULL,KLF4,OK,0,2.29511,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_010541,XLOC_010541,TMEM100,chr17:53796987-53809482,NULL,KLF4,OK,0,2.23549,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_010758,XLOC_010758,CD7,chr17:80272745-80275480,NULL,KLF4,OK,0,0.983725,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_011090,XLOC_011090,ZBTB7C,chr18:45553638-45663680,NULL,KLF4,OK,0,3.30885,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_011179,XLOC_011179,KISS1R,chr19:917341-921015,NULL,KLF4,OK,0,1.34315,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_011232,XLOC_011232,NMRK2,chr19:3933100-3942414,NULL,KLF4,OK,0,2.03657,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_011709,XLOC_011709,GIPR,chr19:46171501-46185717,NULL,KLF4,OK,0,1.05736,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_011828,XLOC_011828,SIGLEC9,chr19:51628136-51639520,NULL,KLF4,OK,0,1.57558,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_012322,XLOC_012322,COMP,chr19:18893582-18902114,NULL,KLF4,OK,0,12.6521,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_012330,XLOC_012330,HAPLN4,chr19:19366451-19373596,NULL,KLF4,OK,0,1.25183,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_012391,XLOC_012391,SBSN,chr19:36014268-36019253,NULL,KLF4,OK,0,12.2618,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_012545,XLOC_012545,CKM,chr19:45809670-45826235,NULL,KLF4,OK,0,2.25203,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_012647,XLOC_012647,SIGLEC11,chr19:50452249-50464429,NULL,KLF4,OK,0,4.71444,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_012687,XLOC_012687,KLK13,chr19:51559462-51568367,NULL,KLF4,OK,0,64.2278,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_012758,XLOC_012758,TNNI3,chr19:55663135-55669100,NULL,KLF4,OK,0,7.95958,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_013075,XLOC_013075,TLX2,chr2:74741595-74744275,NULL,KLF4,OK,0,3.94441,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_013127,XLOC_013127,MAL,chr2:95691399-95719737,NULL,KLF4,OK,0,5.94698,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_013187,XLOC_013187,SULT1C2,chr2:108905094-108926371,NULL,KLF4,OK,0,1.30112,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_013527,XLOC_013527,DES,chr2:220283098-220291461,NULL,KLF4,OK,0,3.56078,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_013799,XLOC_013799,KCNK12,chr2:47747914-47797470,NULL,KLF4,OK,0,1.50703,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_013915,XLOC_013915,TRABD2A,chr2:85048790-85108369,NULL,KLF4,OK,0,2.27599,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_013962,XLOC_013962,FAM178B,chr2:97541618-97652301,NULL,KLF4,OK,0,1.73304,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_014023,XLOC_014023,IL1B,chr2:113587336-113594356,NULL,KLF4,OK,0,1.08915,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_014036,XLOC_014036,C1QL2,chr2:119913818-119916471,NULL,KLF4,OK,0,1.66949,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_014359,XLOC_014359,NPPC,chr2:232786804-232791038,NULL,KLF4,OK,0,16.993,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_014364,XLOC_014364,NGEF,chr2:233743395-233877951,NULL,KLF4,OK,0,19.459,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_014632,XLOC_014632,KCNK15,chr20:43374487-43438979,NULL,KLF4,OK,0,3.29749,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_014709,XLOC_014709,APCDD1L-AS1,chr20:57090434-57194948,NULL,KLF4,OK,0,0.896983,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_014908,XLOC_014908,FOXS1,chr20:30432102-30433420,NULL,KLF4,OK,0,3.2604,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_014988,XLOC_014988,SLPI,chr20:43880879-43883205,NULL,KLF4,OK,0,2.96429,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_015074,XLOC_015074,LINC00659,chr20:61405472-61408208,NULL,KLF4,OK,0,1.27338,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_015368,XLOC_015368,TMPRSS2,chr21:42836477-42880085,NULL,KLF4,OK,0,1.35607,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_015525,XLOC_015525,CRYBA4,chr22:27017927-27026636,NULL,KLF4,OK,0,4.16331,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_015874,XLOC_015874,SOX10,chr22:38368318-38380539,NULL,KLF4,OK,0,1.20718,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_016421,XLOC_016421,TRH,chr3:129693235-129696781,NULL,KLF4,OK,0,497.603,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_016803,XLOC_016803,UCN2,chr3:48599150-48601201,NULL,KLF4,OK,0,3.3684,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_017347,XLOC_017347,S100P,chr4:6695565-6698897,NULL,KLF4,OK,0,310.631,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_017952,XLOC_017952,BTC,chr4:75671447-75719882,NULL,KLF4,OK,0,1.02584,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_018701,XLOC_018701,FGF18,chr5:170846666-170884630,NULL,KLF4,OK,0,13.7767,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_018787,XLOC_018787,SLC6A3,chr5:1392904-1445543,NULL,KLF4,OK,0,3.99324,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_019170,XLOC_019170,SPINK1,chr5:147204142-147211260,NULL,KLF4,OK,0,14.9827,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_019290,XLOC_019290,COL23A1,chr5:177664616-178017556,NULL,KLF4,OK,0,5.97813,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_019309,XLOC_019309,SCGB3A1,chr5:180017104-180018487,NULL,KLF4,OK,0,17.8406,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_020099,XLOC_020099,C6orf15,chr6:31078999-31080332,NULL,KLF4,OK,0,10.237,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_020561,XLOC_020561,C6orf123,chr6:168185218-168197539,NULL,KLF4,OK,0,1.08398,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_021992,XLOC_021992,ELN,chr7:73442118-73484236,NULL,KLF4,OK,0,8.90353,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_022338,XLOC_022338,WDR86-AS1,chr7:151078206-151110440,NULL,KLF4,OK,0,1.49653,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_022804,XLOC_022804,PRRT4,chr7:127990378-128001739,NULL,KLF4,OK,0,4.38077,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_023177,XLOC_023177,CA2,chr8:86376130-86393721,NULL,KLF4,OK,0,1.19291,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_023298,XLOC_023298,C8orf31,chr8:144120678-144135720,NULL,KLF4,OK,0,1.9233,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_023428,XLOC_023428,GFRA2,chr8:21549529-21646346,NULL,KLF4,OK,0,0.893851,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_023455,XLOC_023455,STMN4,chr8:27092839-27115956,NULL,KLF4,OK,0,1.34298,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_023757,XLOC_023757,SLURP1,chr8:143822361-143823829,NULL,KLF4,OK,0,11.394,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_023758,XLOC_023758,LYPD2,chr8:143831627-143833952,NULL,KLF4,OK,0,158.162,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_023760,XLOC_023760,LY6D,chr8:143866297-143868008,NULL,KLF4,OK,0,5.29549,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_023781,XLOC_023781,EPPK1,chr8:144939491-144952632,NULL,KLF4,OK,0,1.27176,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_024155,XLOC_024155,LCN2,chr9:130911731-130915734,NULL,KLF4,OK,0,25.242,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_024711,XLOC_024711,PTGES,chr9:132500614-132515344,NULL,KLF4,OK,0,1.21542,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_024786,XLOC_024786,ENTPD2,chr9:139942550-139948503,NULL,KLF4,OK,0,1.05297,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_025624,XLOC_025624,POF1B,chrX:84532394-84634748,NULL,KLF4,OK,0,1.40071,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_019590,XLOC_019590,PI16,chr6:36916038-36932613,NULL,KLF4,OK,0.228567,1247.41,12.414,15.3441,5.00E-05,0.000294749,yes
XLOC_024366,XLOC_024366,AQP3,chr9:33441151-33447631,NULL,KLF4,OK,0.717609,465.903,9.34262,18.4565,5.00E-05,0.000294749,yes
XLOC_008193,XLOC_008193,SEMA7A,chr15:74701629-74726299,NULL,KLF4,OK,0.178436,66.8776,8.54997,11.0899,5.00E-05,0.000294749,yes
XLOC_004182,XLOC_004182,"IGF2,INS,INS-IGF2",chr11:2150341-2182439,NULL,KLF4,OK,1.48692,352.66,7.88981,15.8536,5.00E-05,0.000294749,yes
XLOC_024585,XLOC_024585,KLF4,chr9:110247132-110252047,NULL,KLF4,OK,1.33836,311.647,7.8633,20.4878,5.00E-05,0.000294749,yes
XLOC_003738,XLOC_003738,MYRF,chr11:61520120-61555989,NULL,KLF4,OK,0.15315,33.9363,7.79174,13.0932,5.00E-05,0.000294749,yes
XLOC_017316,XLOC_017316,FGFR3,chr4:1795038-1810599,NULL,KLF4,OK,0.132765,23.7729,7.48429,8.67751,5.00E-05,0.000294749,yes
XLOC_001464,XLOC_001464,PTAFR,chr1:28473676-28520447,NULL,KLF4,OK,0.117291,20.3943,7.44194,7.85701,5.00E-05,0.000294749,yes
XLOC_013761,XLOC_013761,CYP1B1,chr2:38294745-38303323,NULL,KLF4,OK,0.410991,67.4295,7.35813,16.7505,5.00E-05,0.000294749,yes
XLOC_023247,XLOC_023247,NOV,chr8:120428551-120436678,NULL,KLF4,OK,0.540001,82.3432,7.25254,14.6645,5.00E-05,0.000294749,yes
XLOC_011692,XLOC_011692,APOE,chr19:45409038-45412650,NULL,KLF4,OK,0.498181,75.6541,7.2466,9.94131,5.00E-05,0.000294749,yes
XLOC_002024,XLOC_002024,CRABP2,chr1:156669399-156675608,NULL,KLF4,OK,0.892791,133.646,7.22588,11.5658,5.00E-05,0.000294749,yes
XLOC_010067,XLOC_010067,ATP2A3,chr17:3827162-3867758,NULL,KLF4,OK,0.47863,65.1838,7.08946,15.626,5.00E-05,0.000294749,yes
XLOC_012692,XLOC_012692,VSIG10L,chr19:51834794-51845378,NULL,KLF4,OK,0.196501,22.1368,6.81577,10.8201,5.00E-05,0.000294749,yes
XLOC_023759,XLOC_023759,LYNX1,chr8:143845755-143859640,NULL,KLF4,OK,0.716047,78.8071,6.78213,10.1364,5.00E-05,0.000294749,yes
XLOC_000772,XLOC_000772,NPR1,chr1:153651163-153666468,NULL,KLF4,OK,0.301797,31.6865,6.71414,13.2446,5.00E-05,0.000294749,yes
XLOC_021863,XLOC_021863,AQP1,chr7:30951414-30965131,NULL,KLF4,OK,1.97864,198.836,6.65093,18.3877,5.00E-05,0.000294749,yes
XLOC_025844,XLOC_025844,L1CAM,chrX:153126968-153151628,NULL,KLF4,OK,0.0371659,3.64345,6.61518,3.45051,5.00E-05,0.000294749,yes
XLOC_008827,XLOC_008827,CRISPLD2,chr16:84853586-84943116,NULL,KLF4,OK,0.13885,13.4857,6.60176,9.92998,5.00E-05,0.000294749,yes
XLOC_024775,XLOC_024775,LCN6,chr9:139638468-139644363,NULL,KLF4,OK,1.54648,131.263,6.40733,10.5631,5.00E-05,0.000294749,yes
XLOC_007447,XLOC_007447,CKB,chr14:103985994-103989196,NULL,KLF4,OK,1.53855,124.465,6.33803,14.1543,5.00E-05,0.000294749,yes
XLOC_014828,XLOC_014828,FERMT1,chr20:6055491-6104191,NULL,KLF4,OK,0.137018,10.3058,6.23294,9.81865,5.00E-05,0.000294749,yes
XLOC_015526,XLOC_015526,"LOC102724827,MIAT",chr22:27053445-27176856,NULL,KLF4,OK,0.37776,28.159,6.21998,9.1168,5.00E-05,0.000294749,yes
XLOC_016023,XLOC_016023,FBLN2,chr3:13590624-13679922,NULL,KLF4,OK,1.04757,68.9619,6.04068,16.1251,5.00E-05,0.000294749,yes
XLOC_024649,XLOC_024649,LHX6,chr9:124964855-124991091,NULL,KLF4,OK,0.497163,31.0898,5.96658,11.9126,5.00E-05,0.000294749,yes
XLOC_018417,XLOC_018417,VCAN,chr5:82767492-82878122,NULL,KLF4,OK,0.742755,39.9956,5.75081,15.8411,5.00E-05,0.000294749,yes
XLOC_005667,XLOC_005667,PTHLH,chr12:28111016-28124916,NULL,KLF4,OK,7.28657,365.942,5.65023,16.9324,5.00E-05,0.000294749,yes
XLOC_003616,XLOC_003616,CREB3L1,chr11:46299188-46342972,NULL,KLF4,OK,0.192661,9.61841,5.64166,7.65172,5.00E-05,0.000294749,yes
XLOC_012757,XLOC_012757,TNNT1,chr19:55644065-55660722,NULL,KLF4,OK,1.21365,53.6088,5.46505,9.43159,5.00E-05,0.000294749,yes
XLOC_017357,XLOC_017357,HTRA3,chr4:8271488-8308838,NULL,KLF4,OK,4.53021,188.385,5.37796,16.7343,5.00E-05,0.000294749,yes
XLOC_001033,XLOC_001033,PRELP,chr1:203444882-203460479,NULL,KLF4,OK,0.102028,4.01998,5.30015,7.8919,5.00E-05,0.000294749,yes
XLOC_004049,XLOC_004049,IL10RA,chr11:117857105-117872199,NULL,KLF4,OK,0.130479,4.97805,5.2537,6.68917,5.00E-05,0.000294749,yes
XLOC_015054,XLOC_015054,APCDD1L,chr20:57034425-57089949,NULL,KLF4,OK,0.368363,13.3433,5.17884,9.89155,5.00E-05,0.000294749,yes
XLOC_023754,XLOC_023754,ARC,chr8:143692404-143695833,NULL,KLF4,OK,0.372666,13.3914,5.16729,9.40115,5.00E-05,0.000294749,yes
XLOC_011442,XLOC_011442,IFI30,chr19:18284589-18288934,NULL,KLF4,OK,0.584759,20.3959,5.1243,6.91522,5.00E-05,0.000294749,yes
XLOC_003145,XLOC_003145,C10orf54,chr10:73156690-73575704,NULL,KLF4,OK,0.77911,26.7862,5.10352,12.6839,5.00E-05,0.000294749,yes
XLOC_008616,XLOC_008616,ITGAX,chr16:31366454-31394318,NULL,KLF4,OK,0.107751,3.67854,5.09335,6.12639,5.00E-05,0.000294749,yes
XLOC_021765,XLOC_021765,ELFN1,chr7:1748797-1787590,NULL,KLF4,OK,0.141078,4.5627,5.01532,6.45343,5.00E-05,0.000294749,yes
XLOC_000715,XLOC_000715,ECM1,chr1:150480486-150486265,NULL,KLF4,OK,4.39069,135.848,4.9514,15.0573,5.00E-05,0.000294749,yes
XLOC_009542,XLOC_009542,"KCNJ12,KCNJ18",chr17:21279698-21323179,NULL,KLF4,OK,0.786847,23.7577,4.91617,12.1458,5.00E-05,0.000294749,yes
XLOC_022730,XLOC_022730,RASA4,chr7:102220092-102257205,NULL,KLF4,OK,0.296789,8.71847,4.87657,9.6336,5.00E-05,0.000294749,yes
XLOC_005133,XLOC_005133,IGFBP6,chr12:53491435-53496128,NULL,KLF4,OK,14.5978,394.866,4.75754,14.8004,5.00E-05,0.000294749,yes
XLOC_024188,XLOC_024188,ASS1,chr9:133320093-133376661,NULL,KLF4,OK,2.19938,55.9282,4.66841,11.8662,5.00E-05,0.000294749,yes
XLOC_024561,XLOC_024561,CORO2A,chr9:100883256-100954956,NULL,KLF4,OK,0.151952,3.81806,4.65115,7.5451,5.00E-05,0.000294749,yes
XLOC_001884,XLOC_001884,GJA5,chr1:147228331-147245466,NULL,KLF4,OK,0.229423,5.74749,4.64685,7.19783,5.00E-05,0.000294749,yes
XLOC_017292,XLOC_017292,MFI2,chr3:196728611-196756687,NULL,KLF4,OK,0.85639,21.3944,4.64283,8.38794,5.00E-05,0.000294749,yes
XLOC_003175,XLOC_003175,KCNMA1,chr10:78629358-79397577,NULL,KLF4,OK,0.904459,22.4912,4.63616,6.00907,5.00E-05,0.000294749,yes
XLOC_016364,XLOC_016364,PLA1A,chr3:119316694-119348658,NULL,KLF4,OK,0.756668,18.4986,4.61161,7.91085,5.00E-05,0.000294749,yes
XLOC_007831,XLOC_007831,IL16,chr15:81489218-81616524,NULL,KLF4,OK,0.0728178,1.75523,4.59122,5.4816,5.00E-05,0.000294749,yes
XLOC_001961,XLOC_001961,S100A3,chr1:153519808-153521734,NULL,KLF4,OK,1.56702,37.4827,4.58013,7.94275,5.00E-05,0.000294749,yes
XLOC_019154,XLOC_019154,PCDH12,chr5:141323149-141338627,NULL,KLF4,OK,4.53118,107.42,4.56723,15.8126,5.00E-05,0.000294749,yes
XLOC_015739,XLOC_015739,RTN4R,chr22:20228937-20255816,NULL,KLF4,OK,0.458747,10.6797,4.54103,7.41233,5.00E-05,0.000294749,yes
XLOC_007828,XLOC_007828,CEMIP,chr15:81071711-81243999,NULL,KLF4,OK,0.773472,17.7853,4.52319,12.712,5.00E-05,0.000294749,yes
XLOC_016846,XLOC_016846,HYAL1,chr3:50337319-50349812,NULL,KLF4,OK,0.449268,9.95021,4.46908,5.83282,5.00E-05,0.000294749,yes
XLOC_004864,XLOC_004864,CDON,chr11:125826712-125933187,NULL,KLF4,OK,0.554996,12.0384,4.43902,11.9356,5.00E-05,0.000294749,yes
XLOC_020203,XLOC_020203,MDGA1,chr6:37600283-37665766,NULL,KLF4,OK,0.178189,3.81607,4.42061,9.1911,5.00E-05,0.000294749,yes
XLOC_018829,XLOC_018829,FAM134B,chr5:16473146-16630078,NULL,KLF4,OK,0.130587,2.77674,4.41031,4.30396,5.00E-05,0.000294749,yes
XLOC_018619,XLOC_018619,SPINK5,chr5:147443534-147516925,NULL,KLF4,OK,0.401714,8.37394,4.38167,8.44665,5.00E-05,0.000294749,yes
XLOC_009549,XLOC_009549,LGALS9,chr17:25958173-25976586,NULL,KLF4,OK,13.01,262.977,4.33725,14.5549,5.00E-05,0.000294749,yes
XLOC_016779,XLOC_016779,LTF,chr3:46477495-46506632,NULL,KLF4,OK,0.213144,4.2807,4.32794,5.54239,5.00E-05,0.000294749,yes
XLOC_025058,XLOC_025058,KLF8,chrX:56258821-56314322,NULL,KLF4,OK,0.189492,3.76041,4.31069,6.34415,5.00E-05,0.000294749,yes
XLOC_015934,XLOC_015934,SCUBE1,chr22:43599228-43739394,NULL,KLF4,OK,1.24616,24.1599,4.27706,11.7006,5.00E-05,0.000294749,yes
XLOC_007830,XLOC_007830,C15orf26,chr15:81426643-81441516,NULL,KLF4,OK,0.431753,8.27112,4.25981,6.40907,5.00E-05,0.000294749,yes
XLOC_015570,XLOC_015570,TIMP3,chr22:32908539-33454377,NULL,KLF4,OK,0.3059,5.85696,4.25902,9.03412,5.00E-05,0.000294749,yes
XLOC_003931,XLOC_003931,MYO7A,chr11:76839309-76926286,NULL,KLF4,OK,0.453244,8.16072,4.17034,9.96264,5.00E-05,0.000294749,yes
XLOC_000463,XLOC_000463,DNAJC6,chr1:65730376-65881552,NULL,KLF4,OK,0.94476,16.7945,4.1519,10.3033,5.00E-05,0.000294749,yes
XLOC_012761,XLOC_012761,PTPRH,chr19:55692614-55720874,NULL,KLF4,OK,0.400838,7.00403,4.12709,7.57809,5.00E-05,0.000294749,yes
XLOC_015246,XLOC_015246,COL6A2,chr21:47518032-47552763,NULL,KLF4,OK,1.48767,25.493,4.09898,11.0717,5.00E-05,0.000294749,yes
XLOC_004807,XLOC_004807,MPZL2,chr11:118124130-118135251,NULL,KLF4,OK,0.952199,16.2547,4.09345,8.47651,5.00E-05,0.000294749,yes
XLOC_019216,XLOC_019216,ADAM19,chr5:156904311-157002831,NULL,KLF4,OK,5.05164,85.8938,4.08773,14.2843,5.00E-05,0.000294749,yes
